Name,Location,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,offers_dining,avg_din_rate
IFC,Vidhyadhar Nagar,Casual Dining ,Fast Food,500,yes,no,yes,3.9
IFC Pizza and Burger,Vaishali Nagar,Quick Bites ,"Fast Food, Pizza, Burger, Beverages",500,yes,no,yes,3.8
Inchin,Bani Park,Casual Dining ,"Chinese, Thai, Momos","1,500",no,yes,yes,4.1
Inchin,Vaishali Nagar,Quick Bites ,"Thai, Chinese, Seafood",700,no,no,yes,2.9
Indian Ice Cream & Kulfi Faluda,MI Road,Dessert Parlor ,"Ice Cream, Beverages",200,no,no,yes,4.0
Indian Juice,Raja Park,Beverage Shop ,"Beverages, Juices",250,no,no,yes,3.4
Indian Kulfi Faluda,MI Road,Dessert Parlor ,Ice Cream,150,yes,no,yes,3.5
Indian Tadka,Sodala,Quick Bites ,"North Indian, Chinese, Italian",300,no,no,yes,3.4
Indian Zaika,Lal Kothi,Casual Dining ,North Indian,400,no,no,yes,4.0
InstaFit- The Fitness Kitchen,C Scheme,Quick Bites ,"Healthy Food, Continental, Seafood",600,no,no,yes,3.7
Iris Cafe Restro Lounge,Mansarovar,Casual Dining ,"North Indian, Continental, Chinese, Italian, Desserts, Beverages",800,no,no,yes,3.3
Islami Mehrul Hotel,Pink City,Quick Bites ,North Indian,400,no,no,yes,3.2
Jagan Momos,Mansarovar,Quick Bites ,"Fast Food, Chinese",150,yes,no,yes,3.8
Jai Ambe Veg Restaurant,Sanganer,Quick Bites ,North Indian,400,yes,no,yes,3.3
Jai Bhairav Cafe & Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Fast Food, Chinese",300,yes,no,yes,3.5
Jai Bhawani Meat Shop,Malviya Nagar,Meat Shop ,"Raw Meats, North Indian, Chinese",500,no,no,yes,3.6
Jai Pavitra Bhojnalaya,Brahmpuri,Dhaba ,North Indian,150,yes,no,yes,3.3
Jain Fast Food,Jhotwara,Quick Bites ,"Fast Food, South Indian, Chinese",250,yes,no,yes,3.1
Jaina Idli Dosa Ghol Centre,Gopalpura,Quick Bites ,South Indian,100,yes,no,yes,3.8
Jaipur Bakers,Jhotwara,Bakery ,"Bakery, Fast Food, South Indian",250,yes,no,yes,3.8
Jaipur Bistro,Jagatpura,Quick Bites ,Fast Food,250,no,no,yes,3.7
Jaipur Darbar- The Rooftop Lounge,Malviya Nagar,Casual Dining ,"North Indian, Fast Food, Chinese, Beverages","1,000",no,no,yes,2.8
Jaipur Dhaba,Sanganer,Quick Bites ,North Indian,400,yes,no,yes,3.1
Jaipur Down Town,C Scheme,Casual Dining ,"North Indian, Chinese, Fast Food",700,no,no,yes,3.3
Jaipur Farms,Chitrakoot,"Quick Bites, Meat Shop ","North Indian, Mughlai, Raw Meats",350,no,no,yes,3.2
Jaipur Frosta,Shastri Nagar,Quick Bites ,"North Indian, South Indian, Beverages, Chinese",500,no,no,yes,3.8
Jaipur Grill Restaurant,C Scheme,Quick Bites ,"North Indian, Chinese",500,no,no,yes,3.4
Jaipur Heritage Food Court,Malviya Nagar,Casual Dining ,"Chinese, North Indian, South Indian",700,yes,no,yes,2.5
Jaipur Jungle,Adarsh Nagar,Casual Dining ,"North Indian, Chinese, Italian","1,300",yes,no,yes,3.4
Jaipur King Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Chinese, Fast Food",300,yes,no,yes,3.3
Jaipur Modern Kitchen,C Scheme,Casual Dining ,"Italian, Sandwich, Salad, Asian, Beverages, Desserts","1,600",no,no,yes,4.0
Jaipur Parantha Company,Vaishali Nagar,Quick Bites ,North Indian,250,yes,no,yes,3.8
Jaipur Parantha Junction,Mansarovar,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",450,yes,no,yes,4.1
Jaipur Pride Restaurant,Mansarovar,Casual Dining ,"North Indian, Chinese",800,yes,no,yes,3.6
Jaipur Shakes Parlour & Live Ice Cream,Pink City,Dessert Parlor ,"Desserts, Ice Cream",200,yes,no,yes,2.6
Jaipuri Tadka,Sindhi Camp,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",300,yes,no,yes,3.1
Jal Mahal Ice Cream Cafe,Vaishali Nagar,Dessert Parlor ,"Desserts, Ice Cream",300,yes,no,yes,4.0
Jal Mahal Ice Cream Parlour,MI Road,Dessert Parlor ,"Desserts, Ice Cream, Beverages",400,yes,no,yes,4.6
Jalpaan,Amer Road,Casual Dining ,"North Indian, Rajasthani",500,yes,no,yes,3.1
Jayka,Malviya Nagar,Quick Bites ,"North Indian, Chinese",400,no,no,yes,4.1
JBT- Jaipur Burger Truck,Mansarovar,Quick Bites ,"Fast Food, Beverages",300,no,no,yes,3.7
Jeeman Garden Restaurant,Sikar Road,Casual Dining ,North Indian,300,yes,no,yes,3.1
JFS,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Fast Food, South Indian, Beverages",500,yes,no,yes,3.4
Jinni Bakers and Confectioners,Bapu Nagar,Quick Bites ,"Fast Food, Beverages",300,yes,no,yes,2.3
JK's Bar,Malviya Nagar,Casual Dining ,North Indian,600,no,yes,yes,3.0
JMD Bakers & Fast Food,Mansarovar,Quick Bites ,Fast Food,300,yes,no,yes,3.4
Jodhana Dal Bati,Sanganer,Quick Bites ,Rajasthani,150,yes,no,yes,3.4
Jodhpur Daal Bati And More,Shyam Nagar,Quick Bites ,Rajasthani,300,yes,no,yes,3.6
Jodhpur Dal Bati Churma Walaz,Shyam Nagar,Quick Bites ,Rajasthani,250,no,no,yes,3.4
Jodhpur Pokar Sweets And Restaurant,Vidhyadhar Nagar,"Sweet Shop, Quick Bites ","North Indian, Mithai, Street Food",400,yes,no,yes,3.6
Jodhpur Pure Veg Restaurant,Shyam Nagar,Quick Bites ,North Indian,300,no,no,yes,3.6
Johri's Eating Time,Vaishali Nagar,Quick Bites ,"North Indian, Chinese, South Indian",400,yes,no,yes,3.9
Jorba Rooftop,Pink City,CAFÉ ,"Cafe, South Indian, North Indian",500,yes,no,yes,2.7
Jugad Cafe & Restaurant,Pink City,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,3.2
Juice Walas Coffee & Juice Bar,Durgapura,CAFÉ ,"Juices, Fast Food",400,yes,no,yes,3.4
Juicy Corner,Jawahar Nagar,Beverage Shop ,"Fast Food, Beverages",150,no,no,yes,3.9
Juicy Corner,Gopalpura,Beverage Shop ,"Fast Food, Beverages",150,no,no,yes,2.7
Juicy Junction,Vaishali Nagar,Beverage Shop ,"Juices, Beverages",150,no,no,yes,2.8
Julienne - The Balcony Cafe,Mansarovar,CAFÉ ,"Fast Food, Beverages",250,yes,no,yes,3.8
Just Chill,Mansarovar,CAFÉ ,"Cafe, Desserts, Fast Food",400,yes,no,yes,3.7
K.G.F - King Of Great Food,Bais Godam,Quick Bites ,"Fast Food, Chinese, North Indian",400,no,no,yes,3.9
Kabul Chicken Sajji,Pink City,Quick Bites ,"Afghan, Mughlai",350,no,no,yes,4.0
Kadchhi,Mansarovar,Quick Bites ,North Indian,300,yes,no,yes,4.2
Kafe Kone Wala,Sodala,"CAFÉ, Bakery ","Cafe, Bakery",500,yes,no,yes,4.0
Kafeholic,Durgapura,"Quick Bites, Beverage Shop ","Sandwich, Fast Food, Beverages",250,yes,no,yes,4.3
Kafestop,Sodala,Quick Bites ,"Sandwich, Fast Food, Beverages, Cafe",200,yes,no,yes,3.9
Kahaila Cafe & Chill,Mansarovar,Quick Bites ,"Fast Food, Beverages",200,yes,no,yes,2.9
Kahna Food,Sodala,Quick Bites ,North Indian,300,no,no,yes,3.5
Kailash Parbat,Malviya Nagar,Food Court ,"North Indian, South Indian, Street Food",300,yes,no,yes,3.6
Kaish Momo,Pratap Nagar,Quick Bites ,"Momos, Chinese",200,no,no,yes,4.1
Kakas Veg,Mansarovar,Quick Bites ,North Indian,500,yes,no,yes,3.1
Kake Di Hatti V.T. Road,Mansarovar,Casual Dining ,"South Indian, Chinese, North Indian",550,yes,no,yes,3.9
Kakus Cafe,Vaishali Nagar,Quick Bites ,North Indian,300,no,no,yes,2.9
Kalkatta Chat Bhandar,C Scheme,Quick Bites ,Street Food,250,yes,no,yes,3.8
Kalyan Heritage Rooftop Restaurant,Malviya Nagar,Casual Dining ,"North Indian, Chinese",600,no,no,yes,3.7
Kalyan Rooftop And Indoor Restaurant,Gopalbari,Casual Dining ,"North Indian, South Indian, Italian, Chinese, Mexican, Fast Food, Beverages","1,200",no,no,yes,3.8
Kanchan Kesari Village Resort,Ajmer Highway,Casual Dining ,"North Indian, Rajasthani",750,yes,no,yes,2.8
Kanha,C Scheme,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",500,yes,no,yes,4.1
Kanha,Malviya Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",500,yes,no,yes,4.2
Kanha,Vaishali Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",500,yes,no,yes,4.2
Kanha,Gopalpura,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",500,yes,no,yes,4.2
Kanha,Shastri Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian, Street Food, South Indian, Chinese",500,yes,no,yes,4.2
Kanha,Vidhyadhar Nagar,"Sweet Shop, Quick Bites ","Mithai, Fast Food, South Indian, North Indian, Chinese, Street Food, Beverages",500,yes,no,yes,4.1
Kanha Bhog Choudhary Dhaba,Vidhyadhar Nagar,Quick Bites ,North Indian,300,yes,no,yes,2.7
Kanha Food Court,C Scheme,Quick Bites ,"North Indian, Fast Food, Chinese, South Indian, Beverages",400,yes,no,yes,2.8
Kanha Sweets And Food Caters,Jhotwara,"Sweet Shop, Quick Bites ","Mithai, Street Food",200,yes,no,yes,3.5
Kaniram's Sweets & Restaurant,Sikar Road,Casual Dining ,"Mithai, Street Food, North Indian, South Indian",600,yes,no,yes,3.9
Kanji,Sindhi Camp,"Casual Dining, Sweet Shop ","North Indian, South Indian, Fast Food, Mithai",600,yes,no,yes,4.0
Kanji,Sikar Road,"Quick Bites, Sweet Shop ","North Indian, South Indian, Fast Food, Mithai",600,yes,no,yes,3.8
Kanji Pavitra Bhojnalaya,Amer Road,Bhojanalya ,North Indian,300,no,no,yes,2.9
Karim Baksh Roti & Boti Co.,Mansarovar,Quick Bites ,"North Indian, Fast Food, Chinese, Mughlai",500,no,no,yes,3.3
Karim's,C Scheme,Casual Dining ,"Mughlai, North Indian, Rolls, Beverages",800,no,no,yes,3.2
Kataria Hotel,Mansarovar,Casual Dining ,"North Indian, Fast Food, Chinese, South Indian",700,yes,no,yes,3.3
Kathi Junction,Raja Park,Quick Bites ,"Rolls, North Indian, Chinese, Fast Food, Pizza, Beverages",300,no,no,yes,3.5
Kebab Nation,Mansarovar,Casual Dining ,"North Indian, Italian","1,100",no,no,yes,4.1
Kebabs & Curries Company,Chitrakoot,Casual Dining ,"North Indian, Kebab","1,000",no,no,yes,4.3
Kebabs & Curries Company,Raja Park,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,4.4
Kebabs & Curries Company,Malviya Nagar,Casual Dining ,"North Indian, Chinese",800,no,no,yes,4.7
Kebabs & Curries Company,Sitapur,Casual Dining ,"North Indian, Mughlai, Chinese, Rolls, Kebab","1,400",no,no,yes,4.4
Kebabs & Curries Company,Jagatpura,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,4.1
Kerala Kafe,Sodala,Quick Bites ,South Indian,300,no,no,yes,3.6
Kesar,Durgapura,Sweet Shop ,Mithai,200,yes,no,yes,4.0
Kesar Dhaba Restaurant,Sikar Road,Quick Bites ,"North Indian, Fast Food",300,yes,no,yes,3.5
Kesar Kanha,Chitrakoot,Casual Dining ,"North Indian, Chinese",800,yes,no,yes,3.6
Ketli Restaurant,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Fast Food, Italian",700,no,no,yes,4.0
Keventers - Milkshakes & Ice Creams,C Scheme,Beverage Shop ,"Beverages, Desserts, Ice Cream",400,yes,no,yes,3.9
KFC,Malviya Nagar,Food Court ,"Burger, Fast Food, Beverages",450,no,no,yes,4.1
KGN Bakers And Cafe,Sikar Road,"Bakery, Quick Bites ","Bakery, Sandwich, Pizza, Fast Food",250,yes,no,yes,3.7
Khan Fried Palace,Pink City,Quick Bites ,Fast Food,300,no,no,yes,3.9
Khana Khazana,Pratap Nagar,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,3.5
Khandelwal Dal Bati,Sanganer,Quick Bites ,North Indian,300,no,no,yes,3.3
Khandelwal Dhaba,Vidhyadhar Nagar,Dhaba ,North Indian,400,yes,no,yes,3.9
Khandelwal Dhaba,Sodala,Dhaba ,North Indian,400,yes,no,yes,3.8
Khandelwal Dhaba,Sanganer,Dhaba ,North Indian,300,yes,no,yes,3.9
Khandelwal Dhaba,Pratap Nagar,Quick Bites ,North Indian,300,yes,no,yes,3.4
Khandelwal Dhaba,Sanganer,Quick Bites ,North Indian,250,no,no,yes,3.1
Khandelwal Dhaba,Jhotwara,Quick Bites ,North Indian,350,yes,no,yes,2.7
Khandelwal Dhaba Baandikui Wale,Sikar Road,Quick Bites ,North Indian,450,no,no,yes,3.7
Khandelwal Dhaba Purana Wala,Sikar Road,Quick Bites ,"North Indian, Chinese, Fast Food",450,no,no,yes,4.0
Khandelwal Dhaba Since 1985,Sanganer,Quick Bites ,"North Indian, Chinese, Biryani",400,yes,no,yes,3.3
Khandelwal Foods,Sikar Road,Casual Dining ,"North Indian, Chinese",500,no,no,yes,3.9
Khandelwal Pavitra Bhojnalaya,Sindhi Camp,Dhaba ,North Indian,400,no,no,yes,3.6
Khandelwal Pavitra Bhojnalaya,Pink City,Dhaba ,North Indian,300,yes,no,yes,3.8
Khandelwal Pure Veg. Dhaba,Vaishali Nagar,Casual Dining ,"North Indian, Fast Food, Beverages",750,no,no,yes,3.2
Khansama,Bani Park,Quick Bites ,"North Indian, Rolls",500,no,no,yes,3.6
Khatta Meetha Teekha Tadka,Durgapura,Dhaba ,North Indian,300,yes,no,yes,4.1
Khopcha Restaurant,Mansarovar,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",300,yes,no,yes,2.9
Khurafati Smoothies & Shakes,Sikar Road,"Beverage Shop, Quick Bites ","Beverages, Fast Food",200,yes,no,yes,4.0
Ki & Ka Kafe Restaurant,Chitrakoot,CAFÉ ,"Cafe, Chinese, North Indian",600,yes,no,yes,4.0
Kiara's Kitchen,C Scheme,Quick Bites ,"North Indian, Fast Food, Beverages",450,yes,no,yes,3.6
King's Kitchen,Mansarovar,Quick Bites ,"North Indian, South Indian, Fast Food, Beverages",250,yes,no,yes,4.0
King's Platter Restaurant,MI Road,Quick Bites ,"North Indian, Mughlai",550,no,no,yes,3.6
Kirodiwal Sweets,Sikar Road,Sweet Shop ,"Mithai, Fast Food, Street Food, South Indian",300,yes,no,yes,2.5
Kitchen King Restaurant,Sindhi Camp,Quick Bites ,"Fast Food, North Indian, South Indian, Beverages",300,yes,no,yes,3.2
Kopper Kadai,Shyam Nagar,Quick Bites ,"North Indian, Chinese, Fast Food",250,yes,no,yes,3.1
Krishna Bakers & Fast Food,Pink City,"Bakery, Quick Bites ","Bakery, Fast Food",200,yes,no,yes,3.7
Krishna Live Ice Creams,Shyam Nagar,Dessert Parlor ,"Ice Cream, Beverages",350,yes,no,yes,3.2
Krishna Restaurant,Lal Kothi,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",600,yes,no,yes,2.7
Krishnam Veg Restaurant,Sanganer,Casual Dining ,"North Indian, Chinese, Fast Food",400,yes,no,yes,3.9
Krishna's Kitchen,Brahmpuri,Quick Bites ,"Chinese, North Indian, South Indian, Pizza",250,no,no,yes,3.7
Kuch Khalo,Malviya Nagar,Quick Bites ,"North Indian, Fast Food, Chinese",350,yes,no,yes,3.4
Kulche Wala,Jagatpura,Quick Bites ,North Indian,250,no,no,yes,2.7
Kulhad & Cookies,Ajmer Highway,Quick Bites ,"Healthy Food, Fast Food",200,yes,no,yes,3.9
Kullad - The Teafe,MI Road,Quick Bites ,"Street Food, Fast Food, North Indian, Beverages",300,yes,no,yes,3.7
La Palma Cafe and Lounge Bar,C Scheme,CAFÉ ,"Italian, European, Continental","1,400",no,yes,yes,4.3
La Pino'z Pizza,C Scheme,Quick Bites ,"Pizza, Fast Food",800,yes,no,yes,3.9
La Pino'z Pizza,Mansarovar,Quick Bites ,Italian,800,yes,no,yes,4.0
La Pino'z Pizza,Vaishali Nagar,Quick Bites ,"Italian, Pizza",800,yes,no,yes,3.8
La Pizza,Vidhyadhar Nagar,Quick Bites ,Pizza,400,no,no,yes,3.4
La Villa Restaurant,Mansarovar,Casual Dining ,"North Indian, Chinese, South Indian, Continental, Beverages",900,yes,no,yes,3.3
Laajawab Biryani And Snacks,Malviya Nagar,Quick Bites ,"Biryani, Burger, Fast Food",250,no,no,yes,3.4
Laajawab Restaurant,Malviya Nagar,Quick Bites ,"North Indian, Chinese",500,no,no,yes,3.7
Lali's Streat,Mansarovar,Quick Bites ,"North Indian, Chinese, South Indian, Street Food, Fast Food, Beverages",300,no,no,yes,3.8
Lapar Lapar,Raja Park,Quick Bites ,"North Indian, Fast Food, Beverages",500,no,no,yes,3.8
Laxmi Chat Bhandar,MI Road,Quick Bites ,"Street Food, South Indian",250,no,no,yes,3.5
Laxmi Mishthan Bhandar,Pink City,"Casual Dining, Sweet Shop ","North Indian, Mithai, Rajasthani, South Indian, Chinese","1,000",yes,no,yes,2.3
Laxmi Pavitra Bhojnayla,Tonk Phatak,Dhaba ,North Indian,200,yes,no,yes,2.8
Laxmi Sweet Caterers,Sodala,"Sweet Shop, Quick Bites ","Mithai, North Indian, South Indian, Fast Food",400,yes,no,yes,3.9
Lazeez Chicken,Shyam Nagar,Mess ,North Indian,600,no,no,yes,3.4
Lazeez Chicken Biryani,Amer Road,Quick Bites ,Biryani,200,no,no,yes,3.4
Laziz Chicken Food Restaurant,Jhotwara,Quick Bites ,"Mughlai, North Indian",500,no,no,yes,4.0
Laziz Pizza,Gopalpura,CAFÉ ,"Italian, Continental",500,yes,no,yes,4.1
Le Khaksa Restaurant,Mansarovar,Casual Dining ,"Chinese, North Indian, South Indian",500,no,no,yes,3.4
Legendary,Sitapur,Casual Dining ,"North Indian, Chinese, Italian, Fast Food, Street Food",650,no,no,yes,3.7
Let's Meat,Vaishali Nagar,Quick Bites ,"Mughlai, North Indian",500,no,no,yes,3.7
Lets Order Inn,Sanganer,Quick Bites ,"North Indian, Fast Food, Sandwich, Beverages",300,no,no,yes,3.6
Lick-A-Chick,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Kebab",800,no,no,yes,4.3
Liquido,Vaishali Nagar,Beverage Shop ,"Healthy Food, Beverages",500,yes,no,yes,3.8
Little China,Sikar Road,Quick Bites ,"Chinese, Fast Food, North Indian",500,no,no,yes,3.4
Little Italy,C Scheme,Casual Dining ,"Italian, Mexican, Beverages","2,400",yes,yes,yes,4.5
Live 2 Eat,Mansarovar,Food Court ,"Beverages, Fast Food, Street Food",300,yes,no,yes,3.2
LMB Juice Center and Fast Food,Mansarovar,"Beverage Shop, Quick Bites ","Beverages, Fast Food",300,yes,no,yes,3.3
Locals,Jawahar Nagar,Quick Bites ,"Fast Food, Beverages",400,yes,no,yes,3.7
LOL,C Scheme,Casual Dining ,"Italian, North Indian, Chinese, Mexican","1,200",yes,no,yes,3.9
London Milkshakes and Burger,Vaishali Nagar,Quick Bites ,"Fast Food, Burger, Beverages",300,no,no,yes,3.4
Looters,C Scheme,Quick Bites ,"Fast Food, Beverages",300,no,no,yes,3.9
Loustic Cafe,Raja Park,Quick Bites ,"North Indian, Chinese, Fast Food, Lebanese, Beverages, Desserts",500,yes,no,yes,3.8
Love Over Coffee,Durgapura,CAFÉ ,Cafe,450,yes,no,yes,4.2
Lucky The Restro,Pratap Nagar,Quick Bites ,"North Indian, South Indian, Fast Food, Rajasthani",500,yes,no,yes,3.0
M.M. Khan Hotel,MI Road,Quick Bites ,"North Indian, Rajasthani",500,no,no,yes,3.6
M.M. Khan Hotel,Pink City,Quick Bites ,"North Indian, Rajasthani",500,no,no,yes,4.3
M.S. Bakers,Sikar Road,"Bakery, Quick Bites ","Bakery, Fast Food",200,yes,no,yes,3.7
Maa Bhawani Mutton Chicken,Vaishali Nagar,Quick Bites ,North Indian,250,no,no,yes,3.5
Maakhan Pure Veg Family Restaurant,Malviya Nagar,Quick Bites ,"North Indian, Chinese, Fast Food, South Indian",400,yes,no,yes,3.6
Madina Hotel,Pink City,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,4.0
Mad'Ouk - Magic In Making,C Scheme,CAFÉ ,"Cafe, North Indian, Healthy Food, Pizza, Beverages, Desserts","1,000",no,no,yes,4.0
Mafix Cakes & Bakes,Bais Godam,"Bakery, Quick Bites ","Bakery, Desserts, Fast Food, Pizza",400,no,no,yes,2.9
Maggi Point,Chitrakoot,Quick Bites ,Fast Food,150,yes,no,yes,2.9
Maggi Spot,Vidhyadhar Nagar,Quick Bites ,"Fast Food, Beverages",350,yes,no,yes,2.6
Magic Mirchi,Mansarovar,Quick Bites ,"Fast Food, Chinese, South Indian",400,yes,no,yes,2.8
Mahadev Cafe,Jagatpura,Quick Bites ,Fast Food,150,no,no,yes,3.4
Mahadev Dhaba,Malviya Nagar,Dhaba ,North Indian,350,yes,no,yes,4.0
Mahadev Dhaba,Mansarovar,Dhaba ,North Indian,200,yes,no,yes,3.9
Mahadev Tadaka Daba,Sanganer,Quick Bites ,North Indian,500,yes,no,yes,3.3
Mahadev Tadka Dhaba,Mansarovar,Dhaba ,North Indian,200,yes,no,yes,3.6
Mahadev Tadka Tandoori Dhaba,Malviya Nagar,Dhaba ,North Indian,500,no,no,yes,3.4
Mahadev Tandoor Dhaba,Malviya Nagar,Dhaba ,"North Indian, Rajasthani",350,yes,no,yes,3.7
Mahalaxmi South Indian Food Centre,Pratap Nagar,Quick Bites ,"South Indian, Fast Food",200,no,no,yes,3.5
Mahaveer Prime Rabri Bhandar,Khatipura Road,Quick Bites ,North Indian,300,yes,no,yes,3.1
Mahaveer Rabdi Bhandar,Malviya Nagar,Sweet Shop ,Mithai,200,yes,no,yes,3.6
Mahaveer Rabdiwala,Vidhyadhar Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian",300,yes,no,yes,3.9
Mahaveer Rabri Bhandaar,Vaishali Nagar,"Sweet Shop, Quick Bites ","Mithai, North Indian",200,yes,no,yes,3.9
Mahaveer Rabri Bhandar,Pink City,Sweet Shop ,"Mithai, North Indian",350,yes,no,yes,4.1
Mahaveer Rabri Bhandar,Adarsh Nagar,"Food Court, Sweet Shop ","Mithai, Rajasthani",400,yes,no,yes,3.9
Mahaveer Rabri Bhandar,Gopalpura,"Quick Bites, Sweet Shop ","Mithai, North Indian",300,yes,no,yes,4.2
Mahavir Rabri Bhandar,Bani Park,Quick Bites ,Rajasthani,250,yes,no,yes,3.6
Maheshwari's Angeethi,Vaishali Nagar,Casual Dining ,"North Indian, Chinese, Fast Food","1,000",yes,no,yes,3.8
Makhan Chor Mithaiwala,Jhotwara,Sweet Shop ,"Mithai, Fast Food",400,yes,no,yes,3.3
Malt,Raja Park,"Beverage Shop, Quick Bites ","Beverages, Desserts, Fast Food",400,yes,no,yes,4.4
Malviya Street,Malviya Nagar,Quick Bites ,"Chinese, Momos, Beverages",400,yes,no,yes,3.6
Mama Fu,C Scheme,Casual Dining ,"Chinese, Asian, Sushi","1,000",no,no,yes,3.9
Mama S Parantha,Sanganer,Quick Bites ,"North Indian, Fast Food",400,yes,no,yes,3.5
Mama's Parantha,Mansarovar,Quick Bites ,"North Indian, Fast Food",200,yes,no,yes,4.3
Mamu's Infusion,C Scheme,Casual Dining ,"North Indian, Mexican, Italian, Chinese",800,yes,no,yes,4.5
Man Pasand Dhaba & Pavitra Bhojhanalya,Jhotwara,Dhaba ,North Indian,300,yes,no,yes,3.7
Manglam Pavitra Bhojanalaya,Durgapura,Quick Bites ,North Indian,300,yes,no,yes,3.1
Manpasand Restaurant,Malviya Nagar,Quick Bites ,North Indian,350,yes,no,yes,3.8
Manuhaar,Mansarovar,"Sweet Shop, Quick Bites ","Mithai, Fast Food, North Indian",300,yes,no,yes,4.1
Manvaar Veg Restaurant,Malviya Nagar,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,3.7
Marco's Cafe,Jagatpura,CAFÉ ,"Fast Food, Beverages",150,no,no,yes,3.1
Maria's cafe,C Scheme,Quick Bites ,"Fast Food, North Indian",300,no,no,yes,3.2
Marky Momos,Raja Park,Quick Bites ,"Momos, Chinese, Fast Food",500,no,no,yes,4.1
Marky Momos,Mansarovar,Quick Bites ,"Momos, Chinese, Fast Food",500,no,no,yes,4.0
Marky Momos,Chitrakoot,Quick Bites ,"Momos, Chinese, Fast Food",500,no,no,yes,3.9
Marky Momos,Malviya Nagar,Casual Dining ,"Momos, Chinese, Fast Food",500,no,no,yes,3.8
Marky Momos,Bani Park,Quick Bites ,"Chinese, Fast Food, North Indian, Seafood",800,no,no,yes,3.9
Marky Momos,Jagatpura,Quick Bites ,"Chinese, Fast Food, Momos, Rolls, Beverages",600,no,no,yes,3.9
Marky Momos,Pink City,Quick Bites ,"Chinese, Fast Food, Momos",550,no,no,yes,3.8
Marky Momos,Pratap Nagar,Quick Bites ,"Momos, Chinese, Fast Food",500,no,no,yes,3.9
Marwadi Jain Dhaba,Gopalbari,Quick Bites ,"North Indian, South Indian, Fast Food",350,yes,no,yes,3.4
Marwadi Thadi,Vidhyadhar Nagar,Quick Bites ,"North Indian, Rajasthani",500,yes,no,yes,3.6
Masala Dani,Shyam Nagar,Quick Bites ,North Indian,400,yes,no,yes,3.8
Masala Halchal,Vaishali Nagar,Quick Bites ,"Street Food, North Indian",200,no,no,yes,2.9
Masala Handi,Jhotwara,Quick Bites ,"North Indian, Rajasthani, Mughlai, Fast Food",500,no,no,yes,3.2
Masala Ministry,C Scheme,Casual Dining ,"North Indian, Chinese, Fast Food, Street Food, Desserts, Beverages","1,100",yes,no,yes,4.6
Masala Ministry,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Fast Food",900,yes,no,yes,4.4
Masala Tadka,Sodala,Quick Bites ,North Indian,200,no,no,yes,3.6
Masala Trails,Gopalpura,Casual Dining ,"North Indian, Italian","1,200",yes,no,yes,4.2
Mathurawala Sweet Caters,Sodala,"Sweet Shop, Quick Bites ","Mithai, Street Food, Fast Food",200,yes,no,yes,3.0
MB - Mealbox,Malviya Nagar,Quick Bites ,"North Indian, Fast Food, Street Food, Chinese, Beverages",800,no,no,yes,3.2
McDonald's,MI Road,Quick Bites ,"Burger, Fast Food",500,no,no,yes,4.0
McDonald's,Chitrakoot,Food Court ,"Burger, Fast Food",500,no,no,yes,4.2
McDonald's,Bais Godam,Quick Bites ,"Burger, Fast Food",500,no,no,yes,4.1
McDonald's,Malviya Nagar,Quick Bites ,"Burger, Fast Food",500,no,no,yes,4.1
MDM,Malviya Nagar,Quick Bites ,"North Indian, Fast Food",200,yes,no,yes,3.4
Meal Box Express,Malviya Nagar,Quick Bites ,"North Indian, Chinese, Fast Food, Desserts, Beverages",400,no,no,yes,3.4
Meal Deal,Gopalpura,Quick Bites ,North Indian,500,no,no,yes,3.4
Meat & Eat,Sindhi Camp,Quick Bites ,Mughlai,400,no,no,yes,3.2
Mee Chilli Food Corner,Tonk Phatak,Quick Bites ,"Fast Food, South Indian, Chinese, North Indian, Beverages",250,yes,no,yes,3.5
Metro Bakery,Sodala,"Bakery, Quick Bites ","Bakery, Fast Food, Chinese",400,yes,no,yes,3.8
